datetime_utc,Receiver,Transmitter,Station Name,Latitude,Longitude,Data source
2017-08-06 04:55:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 04:57:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:03:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:05:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:07:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:09:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:11:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:13:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:15:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:16:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:18:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:21:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:24:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:26:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:31:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:35:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:36:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:38:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:40:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:42:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:44:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:46:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:49:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:51:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:54:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:56:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 05:58:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:01:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:13:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:19:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:21:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:25:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:26:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:28:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:31:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:32:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:34:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:41:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 07:45:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 09:01:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 09:17:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 09:22:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-06 09:24:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 07:44:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 08:38:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 08:40:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 08:53:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 08:55:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 09:03:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 09:05:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 09:17:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 09:19:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-07 09:25:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-08 08:57:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-08 08:59:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-10 04:59:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-10 05:03:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-15 07:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 05:54:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 05:56:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 05:57:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:04:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:06:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:09:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:11:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:14:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:16:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:18:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:20:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:22:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:24:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:27:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:31:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:35:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:38:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:40:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:42:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:45:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:50:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 06:52:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-16 07:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 04:48:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 04:50:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 04:53:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 04:55:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 04:57:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:03:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:05:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:06:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:08:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:09:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:11:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:13:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:15:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:18:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:20:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:22:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:23:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:25:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:28:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:30:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:32:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-17 05:34:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 00:57:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 01:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 01:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:22:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:25:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:27:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:29:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:31:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:34:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:37:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:39:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:42:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:44:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:47:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:48:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:51:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 06:56:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:00:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:02:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:04:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:06:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:08:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:11:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:14:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:16:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:18:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:20:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:21:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:23:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:25:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:27:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:31:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:33:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:36:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:38:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:39:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:41:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:43:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:45:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-08-18 07:47:00,VR2Tx-480583,A69-9001-18224,LBP,27.42742,-82.63168,SCAN
2017-09-10 23:01:00,VR2Tx-480315,A69-9001-18224,BP_IN_N,27.30476,-82.56311,SCAN
2017-09-10 23:03:00,VR2Tx-480315,A69-9001-18224,BP_IN_N,27.30476,-82.56311,SCAN
2017-09-10 23:16:00,VR2Tx-480315,A69-9001-18224,BP_IN_N,27.30476,-82.56311,SCAN
2017-09-19 03:12:00,VR2W-127176,A69-9001-18224,BP_OUT_S,27.29889,-82.56113,SCAN
